H	Spring 2017	AFSTH101B001	Africana Studies	AFST	101B	001	Introduction to African and Africana Studies	1.00	TTH 2:30pm-4:00pm	HLL112	T|Th	02:30pm-04:00pm|02:30pm-04:00pm			 	Noonan-Ngwane,Zolani|Noonan-Ngwane,Zolani	Class Nbr: 1911 SO	Class Number: 1911|An interdisciplinary introduction to Africana Studies, emphasizing change and response among African peoples in Africa and outside. Social Science (SO)	 	 	http://www.haverfordbookstore.com/selecttermdept.aspx	Book Prices	 	 			
H	Spring 2017	AFSTH101B001	Africana Studies	AFST	101B	001	Introduction to African and Africana Studies	1.00	TTH 2:30pm-4:00pm	HLL112	T|Th	02:30pm-04:00pm|02:30pm-04:00pm			 	Noonan-Ngwane,Zolani|Noonan-Ngwane,Zolani	Class Nbr: 1911 SO	Class Number: 1911|An interdisciplinary introduction to Africana Studies, emphasizing change and response among African peoples in Africa and outside. Social Science (SO)	 	 	http://www.haverfordbookstore.com/selecttermdept.aspx	Book Prices	 	 			
H	Spring 2017	AFSTH319B001	Africana Studies	AFST	319B	001	Black Queer Saints: Sex, Gender, Race, Class and the Quest for Liberation	1.00	W 1:30pm-4:00pm	HLS108	W	01:30pm-04:00pm			 	Wiley,Terrance|Wiley,Terrance	Class Nbr: 2177 Lim: 15 HU	Class Number: 2177|Drawing on fiction, biography, critical theory, film, essays, and memoirs, participants will explore how certain African American artists, activists, and religionists have resisted, represented, and reinterpreted sex, sexuality, and gender norms in the context of capitalist, white supremacist, male supremacist, and heteronormative cultures.; Crosslisted: Africana Studies, Religion; Pre-requisite(s): 200 level Humanities Course; Enrollment Limit: 15 Humanities (HU)	 	 	http://www.haverfordbookstore.com/selecttermdept.aspx	Book Prices	 	 			
H	Spring 2017	AFSTH319B001	Africana Studies	AFST	319B	001	Black Queer Saints: Sex, Gender, Race, Class and the Quest for Liberation	1.00	W 1:30pm-4:00pm	HLS108	W	01:30pm-04:00pm			 	Wiley,Terrance|Wiley,Terrance	Class Nbr: 2177 Lim: 15 HU	Class Number: 2177|Drawing on fiction, biography, critical theory, film, essays, and memoirs, participants will explore how certain African American artists, activists, and religionists have resisted, represented, and reinterpreted sex, sexuality, and gender norms in the context of capitalist, white supremacist, male supremacist, and heteronormative cultures.; Crosslisted: Africana Studies, Religion; Pre-requisite(s): 200 level Humanities Course; Enrollment Limit: 15 Humanities (HU)	 	 	http://www.haverfordbookstore.com/selecttermdept.aspx	Book Prices	 	 			
H	Spring 2017	AFSTH319B001	Gender and Sexuality Studies	AFST	319B	001	Black Queer Saints: Sex, Gender, Race, Class and the Quest for Liberation	1.00	W 1:30pm-4:00pm	HLS108	W	01:30pm-04:00pm			 	Wiley,Terrance|Wiley,Terrance	Class Nbr: 2177 Lim: 15 HU	Class Number: 2177|Drawing on fiction, biography, critical theory, film, essays, and memoirs, participants will explore how certain African American artists, activists, and religionists have resisted, represented, and reinterpreted sex, sexuality, and gender norms in the context of capitalist, white supremacist, male supremacist, and heteronormative cultures.; Crosslisted: Africana Studies, Religion; Pre-requisite(s): 200 level Humanities Course; Enrollment Limit: 15 Humanities (HU)	 	 	http://www.haverfordbookstore.com/selecttermdept.aspx	Book Prices	 	 			
H	Spring 2017	ANTHH103B001	Anthropology	ANTH	103B	001	Introduction to Anthropology	1.00	TTH 10:00am-11:30am	STO10	T|Th	10:00am-11:30am|10:00am-11:30am			 	Kelly,Patricia L.	Class Nbr: 1571 Lim: 40 SO	Class Number: 1571|An introduction to the basic ideas and methods of social anthropology. Examines major theoretical and ethnographic concerns of the discipline from its origins to the present, such as family and kinship, production and reproduction, history and evolution, symbolism and representation, with particular attention to such issues as race and racism, gender and sexuality, class, and ethnicity.; Prerequisite: Not open to students who have completed BMC Anth 102.; Enrollment Limit: 40 Social Science (SO)	http://www.haverford.edu/anthropology/ 	Link to Departmental Homepage	http://www.haverfordbookstore.com/selecttermdept.aspx	Book Prices	 	 			
H	Spring 2017	ANTHH155B001	Anthropology	ANTH	155B	001	Themes in the Anthropology of Religion	1.00	TTH 11:30am-1:00pm	HLL201	T|Th	11:30am-01:00pm|11:30am-01:00pm			 	Noonan-Ngwane,Zolani	Class Nbr: 2471 Lim: 25 Div: I;  SO	Class Number: 2471|What is it that rituals actually do? Are they enactments (affirmations) of collective ideals or are they arguments about these? Are they media for political action or are they expressions of teleological phenomena? The course is a comparative study of ritual and its place in religious practice and political argumentation. Concrete case studies will include an initiation ritual in South Africa, the Communion Sacrament in Christianity, a Holocaust commemorative site in Auschwitz, and the cult of spirit-possession in Niger. ; Cross-listed: Anthropology, Religion; Enrollment Limit: 25; Lottery Preference: Freshmen and Sophomores.| Div: I;  Social Science (SO)	http://www.haverford.edu/anthropology/ 	Link to Departmental Homepage	http://www.haverfordbookstore.com/selecttermdept.aspx	Book Prices	 	 			
H	Spring 2017	ANTHH155B001	Africana Studies	ANTH	155B	001	Themes in the Anthropology of Religion	1.00	TTH 11:30am-1:00pm	HLL201	T|Th	11:30am-01:00pm|11:30am-01:00pm			 	Noonan-Ngwane,Zolani	Class Nbr: 2471 Lim: 25 Div: I;  SO	Class Number: 2471|What is it that rituals actually do? Are they enactments (affirmations) of collective ideals or are they arguments about these? Are they media for political action or are they expressions of teleological phenomena? The course is a comparative study of ritual and its place in religious practice and political argumentation. Concrete case studies will include an initiation ritual in South Africa, the Communion Sacrament in Christianity, a Holocaust commemorative site in Auschwitz, and the cult of spirit-possession in Niger. ; Cross-listed: Anthropology, Religion; Enrollment Limit: 25; Lottery Preference: Freshmen and Sophomores.| Div: I;  Social Science (SO)	http://www.haverford.edu/anthropology/ 	Link to Departmental Homepage	http://www.haverfordbookstore.com/selecttermdept.aspx	Book Prices	 	 			
H	Spring 2017	ANTHH228B001	Anthropology	ANTH	228B	001	Reproductive Justice, Social Movements, and Civil Society	1.00	MW 11:15am-12:45pm	WCC205	M|W	11:15am-12:45pm|11:15am-12:45pm			 	Grigsby,Juli	Class Nbr: 2466 Lim: 15 SO	Class Number: 2466|An exploration of ethnographic approaches to women’s reproductive justice issues, as well as look at reproduction in the broader structural (socioeconomic and political) contexts in which it is situated. We will focus on specific topics such as abortion, contraception, sterilization, sexually transmitted diseases (STDs) and how these issues are connected to other social justice issues such as poverty, environmentalism, and welfare reform.; Prerequisite(s): ANTH 103; Enrollment Limit: 15; Lottery Preference(s): Anthropology Majors Social Science (SO)	http://www.haverford.edu/anthropology/ 	Link to Departmental Homepage	http://www.haverfordbookstore.com/selecttermdept.aspx	Book Prices	 	 			
H	Spring 2017	ANTHH228B001	Africana Studies	ANTH	228B	001	Reproductive Justice, Social Movements, and Civil Society	1.00	MW 11:15am-12:45pm	WCC205	M|W	11:15am-12:45pm|11:15am-12:45pm			 	Grigsby,Juli	Class Nbr: 2466 Lim: 15 SO	Class Number: 2466|An exploration of ethnographic approaches to women’s reproductive justice issues, as well as look at reproduction in the broader structural (socioeconomic and political) contexts in which it is situated. We will focus on specific topics such as abortion, contraception, sterilization, sexually transmitted diseases (STDs) and how these issues are connected to other social justice issues such as poverty, environmentalism, and welfare reform.; Prerequisite(s): ANTH 103; Enrollment Limit: 15; Lottery Preference(s): Anthropology Majors Social Science (SO)	http://www.haverford.edu/anthropology/ 	Link to Departmental Homepage	http://www.haverfordbookstore.com/selecttermdept.aspx	Book Prices	 	 			
